user,oldPrincipalUsd,cmsAmountUsd,finalPrincipalUsd,skippedReason
0x56a53b9acc36221dba74fc308b74c694c6331c8f,0.0,0.0,0.0,zero-principal
0x56dbb6690487768ea4eb284c3a1b472abc818701,0.0,0.0,0.0,zero-principal
0x56dd2491251b36497cef62fbd4e24ee55d1e0d77,0.0,0.0,0.0,zero-principal
0x56e2b9d8b5ed78f8f1c5d04e22418626d8e9798f,0.0,0.0,0.0,zero-principal
0x56f2987c0a1b017703a6ffeb91cdb587959447ff,0.0,0.0,0.0,zero-principal
0x585a13776ea74c3da040d3213e860736a9713697,0.0,0.0,0.0,zero-principal
0x59ca4e7d2327446fde4062de5fd0a93ad07262e1,0.0,0.0,0.0,zero-principal
0x5a690ebce06b6b698922c95053e11352ede743db,0.0,0.0,0.0,zero-principal
0x5aa0cc541dbdbbd4d831d042e178bfd22b9f74f8,0.0,0.0,0.0,zero-principal
0x5b33a958fde0b4161caa1a898400c37f69758d9b,0.0,0.0,0.0,zero-principal
0x5cbe483c4eb66ff4a923503d8df1f7a5e32c1d6e,0.0,0.0,0.0,zero-principal
0x6023053c16249362ef9d5f43d1e004567439791d,0.0,0.0,0.0,zero-principal
0x61b0cb0b884131b6ae6df4c43c7570521dc17360,0.0,0.0,0.0,zero-principal
0x6276ac538c9f18f4dc6b058e7d558f0e3d38d952,0.0,0.0,0.0,zero-principal
0x6319c440ba9c814de69199590bd13e133ac7a4a2,0.0,0.0,0.0,zero-principal
0x6360eabf97be5d81639f5258be76a9a09e644974,0.0,0.0,0.0,zero-principal
0x655282b1aab7f7bb4f37d68d2f4d0f4c436d7da1,0.0,0.0,0.0,zero-principal
0x65fb5fb2dcf452507264fbed3f73643f7222270a,0.0,0.0,0.0,zero-principal
0x663aa95966aaba8a9c10ce3e0432964617c1742c,0.0,0.0,0.0,zero-principal
0x664a0ebd745836f49bf3f9a7f43611e9e9793fe4,0.0,0.0,0.0,zero-principal
0x66a80def1fe002a5605352ee17afc06260265fd1,0.0,0.0,0.0,zero-principal
0x6726f92ae08a26a411fadc5b0bb8f0a28b6dd7ca,0.0,0.0,0.0,zero-principal
0x6832600d63bb250f1c254fa15096eaa1a6928769,0.0,0.0,0.0,zero-principal
0x689a5c3643561e26742d2332209fe834599cf0a5,0.0,0.0,0.0,zero-principal
0x696a68132922c2f184c331cb780a1c69bbc2a09d,0.0,0.0,0.0,zero-principal
0x6a1d1641b3bf38610b9bd4d70038d3ccfa8682de,0.0,0.0,0.0,zero-principal
0x6a6400e28052cf9b514a2d2cebe4ccdb38510468,0.0,0.0,0.0,zero-principal
0x6bfb94de6aa15fcf578d1239b24fb74789483afd,0.0,0.0,0.0,zero-principal
0x6c1d4081dc385cb3395bbd0cd2fc37502afb5dd9,0.0,0.0,0.0,zero-principal
0x6dd693dcac1773deea67fa46b16472580e71e2a1,0.0,0.0,0.0,zero-principal
0x6f5df80d8790335e5027d1cf72442eda268db34b,0.0,0.0,0.0,zero-principal
0x6f9acda54a7b35e32812253547f9a16aaaebfee9,0.0,0.0,0.0,zero-principal
